time	HR1	HR2	Resp1	Resp2	Study	Group	Trial	Condition
13.6847917	0.869851340397213	-1.1648503645565098	-0.32207392280418573	0.36669453159389515	1	101	1	Synchronous
13.7014584	0.1908586180198569	-1.3470864133651737	-0.32207392280418573	0.5681550265737534	1	101	1	Synchronous
13.7181251	0.07082982816559363	-1.2910087185951498	-0.32207392280418573	0.3685813008021715	1	101	1	Synchronous
13.7347917	0.25776738344984734	-0.9784644345443214	-0.32207392280418573	0.19948960260621007	1	101	1	Synchronous
13.7514583	0.6927039136338081	-0.3783483901303909	-0.32207392280418573	-0.03372975901725177	1	101	1	Synchronous
13.768125	1.1477967525146109	0.32262666982711913	-0.32207392280418573	-0.4966901879938192	1	101	1	Synchronous
13.7847915	1.5975864463473548	0.89871834541498	-0.32207392280418573	-1.0628432931668417	1	101	1	Synchronous
13.8014584	1.9890559208194238	1.0137036926360765	-0.32207392280418573	-1.3016649457388252	1	101	1	Synchronous
13.8181249	2.224843778638412	0.9300368791265522	-0.2946993591620362	0.15898173472387014	1	101	1	Synchronous
13.8347919	2.327037536371202	0.34789120345187974	-0.32207392280418573	-0.014619532466570002	1	101	1	Synchronous
13.851458299999999	1.866727293024758	-1.6168245091602622	-0.32207392280418573	-0.25172393974467433	1	101	1	Synchronous
13.8681251	0.8346964454358946	-1.7435916559512419	-0.32207392280418573	-0.11161558560864548	1	101	1	Synchronous
13.8847915	-0.011838678814820534	-0.7855071695328331	-0.32207392280418573	0.026571333966288056	1	101	1	Synchronous
13.9014583	-0.26170333138198787	-0.2809762083872343	-0.32207392280418573	0.3232742558242926	1	101	1	Synchronous
13.9181249	-0.17151484633637953	-0.34110103687392423	-0.32207392280418573	-0.06941081806363411	1	101	1	Synchronous
13.9347917	0.2517183246453874	-0.09628986746168966	0.37843219274729073	0.22494753623470198	1	101	1	Synchronous
13.9514584	0.9608201024279241	0.4087698937301423	-0.31510154746885066	0.19200910368049864	1	101	1	Synchronous
13.9681251	1.2863391994061444	0.25689752602744587	-0.32207392280418573	-0.03599666875640302	1	101	1	Synchronous
13.9847917	1.1253923879969774	-0.2060835856890684	-0.32207392280418573	-0.1220825730463355	1	101	1	Synchronous
14.0014583	1.0508102661426548	-0.2096192048034915	-0.32207392280418573	-0.6040836643831282	1	101	1	Synchronous
14.018125	1.289129864844724	-0.054227011793062906	-0.32207392280418573	-1.1445939617537446	1	101	1	Synchronous
14.0347915	1.5972830115009005	-0.293606427854302	-0.32207392280418573	-1.425920115809213	1	101	1	Synchronous
14.0514584	1.8846506059835728	-0.6031708885472642	2.782785159682568	0.2660600758793393	1	101	1	Synchronous
14.0681249	2.1726640114296956	-0.055873954857405816	2.1984720862608085	0.508782785431165	1	101	1	Synchronous
14.0847919	2.193457812452982	-0.7301368618158052	-0.32207392280418573	0.39471589226357223	1	101	1	Synchronous
14.101458299999999	1.7921903514187314	-1.0392646530015635	0.612263236230671	0.31242023385136425	1	101	1	Synchronous
14.1181251	1.6194594369901336	-0.23125452638529284	3.032371408345284	0.337710260407042	1	101	1	Synchronous
14.1347915	1.6823548927460508	0.29563534667085734	-0.31844640500921206	0.013431538101612862	1	101	1	Synchronous
14.1514583	1.5286277370657788	0.37049579679983813	-0.26389208532004965	-0.5726168660638957	1	101	1	Synchronous
14.1681249	1.3544597641371425	0.2915631768458094	-0.32207392280418573	-1.3847904330435445	1	101	1	Synchronous
14.1847917	1.3572901943354996	0.25724367362408074	-0.32207392280418573	-1.7407590361210863	1	101	1	Synchronous
14.2014584	1.6237682397246618	1.0660040060581528	1.1330352865457236	0.7479639610215171	1	101	1	Synchronous
14.2181251	1.9559469080933	0.6666154870695621	-0.32207392280418573	0.6654244605172858	1	101	1	Synchronous
14.2347917	1.8295267949771368	-0.9238723520280738	-0.32207392280418573	-0.6771509716328686	1	101	1	Synchronous
14.2514583	1.15206602776592	-1.190278364080517	-0.32207392280418573	-1.1496075231624785	1	101	1	Synchronous
14.268125	0.5855077379551525	-0.7232029273379025	-0.32207392280418573	-1.23881563227044	1	101	1	Synchronous
14.2847915	0.46274902546137836	0.35385775264609	-0.32207392280418573	-0.17385575922074895	1	101	1	Synchronous
14.3014584	0.5246824224732133	0.9726933186966333	-0.32207392280418573	-0.45102017874357875	1	101	1	Synchronous
14.3181249	0.37576103830128743	1.3189685819354366	-0.32207392280418573	-1.1253013140552448	1	101	1	Synchronous
14.3347919	0.20822729004360496	1.3483577851685968	0.6158812335154474	-0.5175498863678747	1	101	1	Synchronous
14.351458299999999	0.43190649238296963	1.5835970302926479	-0.24100573282377596	0.3252423482269399	1	101	1	Synchronous
14.3681251	0.7185949176095047	0.8150725903143771	-0.32207392280418573	0.1385739294618456	1	101	1	Synchronous
14.3847915	0.6220756427393966	-1.0783726044295476	-0.07720562920931266	0.11975922226484931	1	101	1	Synchronous
14.4014583	0.5279068573762872	-1.093459638270703	3.1840787628378866	0.6424344661362704	1	101	1	Synchronous
14.4181249	0.799193619294613	-1.6963718884158263	-0.2787626507377106	0.32352279814655893	1	101	1	Synchronous
14.4347917	0.941892509454993	-1.7929394342036802	-0.32207392280418573	0.04408158196022718	1	101	1	Synchronous
14.4514584	0.8327127994463456	-1.5528299348042733	-0.32207392280418573	-0.941684906164909	1	101	1	Synchronous
14.4681251	0.8058050793733605	-1.0641173484929722	-0.32207392280418573	-1.9785952805156477	1	101	1	Synchronous
14.4847917	0.8816190015468599	-0.18627917577176542	1.1948684640107528	0.007373400287106389	1	101	1	Synchronous
